amedas_id,amedas_subid,,fuken_id,type,f_pre,f_tem,f_wsd,f_sun,f_snc,station_name,station_name_kana,location,,,longitude,,,latitude,height,height_wsd,height_tem,,obs_started_pre,obs_started_others,note1,note2,supervisor,station_id,old_station_id
13086,0,留萌,13,四,Y,Y,Y,Y,N,遠別,エンベツ,天塩郡遠別町幸和,44,43.1,44.7183,141,48.4,141.8067,7,10,2.8,#昭52.10.26,1974/11/01,1977/10/26,,,旭川地方気象台,25,
13121,0,留萌,13,四,Y,Y,Y,Y,N,初山別,ショサンベツ,苫前郡初山別村初山別,44,31.4,44.5233,141,46.2,141.7700,27,10,2.3,昭52.10.28,1977/10/28,1977/10/28,13905,,旭川地方気象台,1216,
13146,0,留萌,13,四,Y,Y,Y,Y,N,焼尻,ヤギシリ,苫前郡羽幌町焼尻白浜,44,25.7,44.4283,141,25.3,141.4217,38,8,2.3,昭52.10.27,1977/10/27,1977/10/27,,,旭川地方気象台,1213,
13181,0,留萌,13,官,Y,Y,Y,Y,N,羽幌,ハボロ,苫前郡羽幌町南3条　羽幌特別地域気象観測所,44,21.8,44.3633,141,42,141.7000,8,21.4,,#昭51.1.1,1974/11/01,1976/01/01,13907,,旭川地方気象台,47404,
13206,0,留萌,13,雨,Y,N,N,N,N,古丹別,コタンベツ,苫前郡苫前町古丹別,44,15.9,44.2650,141,43.3,141.7217,15,,,昭51.8.4,1976/08/04,1976/08/04,13910,,旭川地方気象台,1112,
13261,0,留萌,13,四,Y,Y,Y,Y,N,達布,タップ,留萌郡小平町達布,44,2.9,44.0483,141,51.4,141.8567,30,10,3.4,昭52.10.31,1977/10/31,1977/10/31,,,旭川地方気象台,1217,
13277,0,留萌,13,官,Y,Y,Y,Y,N,留萌,ルモイ,留萌市大町　留萌特別地域気象観測所,43,56.7,43.9450,141,37.9,141.6317,24,16.1,,昭55.6.21,1980/06/21,1980/06/21,13915,,旭川地方気象台,47406,
13311,0,留萌,13,四,Y,Y,Y,Y,N,増毛,マシケ,増毛郡増毛町別苅,43,50.9,43.8483,141,30.6,141.5100,20,9.4,2.6,#昭53.10.24,1974/11/01,1978/10/24,,,旭川地方気象台,28,
13321,0,留萌,13,四,Y,Y,Y,Y,N,幌糠,ホロヌカ,留萌市幌糠町,43,51.2,43.8533,141,45.6,141.7600,20,10,3.1,昭52.10.31,1977/10/31,1977/10/31,13920,,旭川地方気象台,1218,
14026,0,石狩,14,四,Y,Y,Y,Y,N,浜益,ハママス,石狩市浜益区川下,43,34.9,43.5817,141,23.2,141.3867,3,10,2.5,昭52.10.12,1977/10/12,1977/10/12,,,札幌管区気象台,1193,
14071,0,石狩,14,四,Y,Y,Y,Y,N,厚田,アツタ,石狩市厚田区別狩,43,23.9,43.3983,141,26.2,141.4367,5,8,2.5,昭52.10.12,1977/10/12,1977/10/12,14900,,札幌管区気象台,1194,
14101,0,石狩,14,四,Y,Y,Y,Y,N,新篠津,シンシノツ,石狩郡新篠津村第46線北,43,13.2,43.2200,141,38.7,141.6450,9,10,2.6,#昭53.10.23,1974/11/01,1978/10/23,14910,,札幌管区気象台,30,
14116,0,石狩,14,四,Y,Y,Y,Y,N,山口,ヤマグチ,札幌市手稲区手稲山口,43,8.8,43.1467,141,13.3,141.2217,5,10,2.6,#昭52.10.11,1974/11/01,1977/10/11,,,札幌管区気象台,31,
14121,0,石狩,14,四,Y,Y,Y,Y,N,石狩,イシカリ,石狩市生振,43,11.6,43.1933,141,22.2,141.3700,5,10,3,平2.3.6,1990/03/06,1990/03/06,14905,,札幌管区気象台,1085,
14136,0,石狩,14,四,Y,Y,Y,Y,N,江別,エベツ,江別市江別太,43,6.6,43.1100,141,36.1,141.6017,8,8,2.5,平12.10.31,2000/10/31,2000/10/31,,,札幌管区気象台,1507,
14157,0,石狩,14,雨,Y,N,N,N,N,手稲山,テイネヤマ,札幌市手稲区手稲金山,43,5,43.0833,141,12.1,141.2017,568,,,平22.3.24,2010/03/24,2010/03/24,,,札幌管区気象台,32,
14163,0,石狩,14,官,Y,Y,Y,Y,N,札幌,サッポロ,札幌市中央区北2条西　札幌管区気象台,43,3.6,43.0600,141,19.7,141.3283,17,59.5,,平13.9.26,2001/09/26,2001/09/26,14913,,札幌管区気象台,47412,
14191,0,石狩,14,雨,Y,N,N,N,N,小金湯,コガネユ,札幌市南区小金湯,42,57.9,42.9650,141,13.1,141.2183,240,,,#,1974/11/01,,14915,,札幌管区気象台,34,
14206,0,石狩,14,四,Y,Y,Y,Y,N,恵庭島松,エニワシママツ,恵庭市下島松,42,55.5,42.9250,141,33.9,141.5650,30,10,2.3,#昭52.10.13,1974/11/01,1977/10/13,14920,,札幌管区気象台,35,
14286,0,石狩,14,四,Y,Y,Y,Y,N,支笏湖畔,シコツコハン,千歳市支笏湖温泉番外地,42,46.3,42.7717,141,24.4,141.4067,290,10,2.5,#昭52.10.14,1974/11/01,1977/10/14,,,札幌管区気象台,37,
14296,0,石狩,14,官,Y,Y,Y,N,N,千歳,チトセ,千歳市美々　新千歳航空測候所,42,46.5,42.7750,141,41.5,141.6917,22,9.8,,平18.3.16,2006/03/16,2006/03/16,14923,日照を除く,札幌管区気象台,1459,
15116,0,空知,15,四,Y,Y,Y,Y,N,石狩沼田,イシカリヌマタ,雨竜郡沼田町緑町,43,48.9,43.8150,141,55.6,141.9267,63,10,4,#昭51.4.1,1974/11/01,1976/04/01,,,札幌管区気象台,38,
15161,0,空知,15,四,Y,Y,Y,Y,N,深川,フカガワ,深川市一已町一已,43,43.1,43.7183,142,4.4,142.0733,55,10,3,#昭52.10.7,1974/11/01,1977/10/07,15910,,札幌管区気象台,39,
15197,0,空知,15,雨,Y,N,N,N,N,雨竜,ウリュウ,雨竜郡雨竜町字満寿,43,39.6,43.6600,141,53.5,141.8917,42,,,平17.11.1,2005/11/01,2005/11/01,,,札幌管区気象台,1567,
15216,0,空知,15,雨,Y,N,N,N,N,新城,シンジョウ,芦別市新城,43,36.7,43.6117,142,12.2,142.2033,147,,,昭59.10.5,1984/10/05,1984/10/05,,,札幌管区気象台,1419,
15231,0,空知,15,四,Y,Y,Y,Y,N,空知吉野,ソラチヨシノ,樺戸郡新十津川町吉野,43,35.7,43.5950,141,43.9,141.7317,100,10,4,昭53.11.2,1978/11/02,1978/11/02,,,札幌管区気象台,1287,
15241,0,空知,15,四,Y,Y,Y,Y,N,滝川,タキカワ,滝川市南滝の川,43,34.2,43.5700,141,56.3,141.9383,50,9.6,3,#昭51.4.1,1974/11/01,1976/04/01,15930,,札幌管区気象台,41,
15247,0,空知,15,雨,Y,N,N,N,N,赤平,アカビラ,赤平市東豊里町,43,33.2,43.5533,142,4,142.0667,120,,,平17.10.31,2005/10/31,2005/10/31,,,札幌管区気象台,1566,
